item group,price,merek,Brand
Women Wallets,1100000.0,MICHAEL KORS,MICHAEL KORS 35F8GTVW0B  JET SET TRAVEL DOUBLE ZIP SIG BROWN
Women Wallets,1100000.0,MICHAEL KORS,MICHAEL KORS 35F8GTVW0B WRISLET DOUBLE ZIP LARGE SIG VANILLA
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2V CECE MEDIUM CHAIN SHOULDER BROWN MULTI
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2V CECE MEDIUM CHAIN SHOULDER BALLET MULTI
Women Wallets,650000.0,FOSSIL,FOSSIL SWL2245015 MADISON CLUTCH BLACK/BROWN
WOMEN BAGS,2650000.0,MICHAEL KORS,MICHAEL KORS 30F9GZ5L6L MERCER GALLERY MEDIUM CONVETTI BUCKET SHOULDER LEATHER ARMY GREEN
WOMEN BAGS,1950000.0,KATE SPADE,KATE SPADE PXRUA750 VANITY SPARKLE MINI TOP GANDLE BLAZERBLUE
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE KHAKI SADDLE
WOMEN BAGS,2050000.0,COACH,COACH 90738 HOBO SKYLAR SIGNATURE BROWN BLACK
WOMEN BAGS,2600000.0,KATE SPADE,KATE SPADE PXRUA245 NICOLA TWISTLOCK SMALL SHOULDER BAG BLACK
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2V CECE MEDIUM CHAIN SHOULDER BROWN MULTI
WOMEN BAGS,3650000.0,COACH,COACH 651 LORA BUCKET WHIPSTITCH TAUPE
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE KHAKI SADDLE
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE KHAKI CHALK
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2B CECE MEDIUM CHAIN SHOULDER BROWN BLACK
WOMEN BAGS,2300000.0,MICHAEL KORS,MICHAEL KORS 30F9GI6L2L JESSIE MEDIUM FLAP SHOULDER OLIVE
Men Wallets,950000.0,MICHAEL KORS,MICHAEL KORS 36U0GFF1L GIFTING 3 IN 1 WALLET BOX SET LEATHER NAVY
WOMEN BAGS,2400000.0,KATE SPADE,KATE SPADE PXRUA540 MARGAUX MINI SATCHEL BLACK
Women Wallets,1100000.0,MICHAEL KORS,MICHAEL KORS 35F8GTVW0B  JET SET TRAVEL DOUBLE ZIP SIG BROWN
WOMEN BAGS,3100000.0,COACH,COACH 69422 COACH SIGNATURE CENTRAL TOTE ZIP TAN RUST
WOMEN BAGS,3650000.0,COACH,COACH 597 SHAY SHOULDER SIGNATURE TAN RUST
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T0GBFS5B BEDFORD SMALL DUFFLE SATCHEL VANILLA MULTI
WOMEN BAGS,2950000.0,MICHAEL KORS,MICHAEL KORS 30S0G0EL2V CECE MEDIUM CHAIN SHOULDER BALLET MULTI
WOMEN BAGS,1500000.0,MICHAEL KORS,MICHAEL KORS 38H9CCPC3B CINDY LARGE DOME CROSSBODY VANILLA
WOMEN BAGS,1900000.0,ETIENNE AIGNER,AIGNER PINA TRAVEL CO SIG BROWN
WOMEN BAGS,4000000.0,TORY BURCH,TORY BURCH 75212 WALKER WEBBING SMALL SATCHEL AVIATION RIBBON STRIPE
Women Wallets,1100000.0,MICHAEL KORS,MICHAEL KORS 35F8GTVW0B WRISLET DOUBLE ZIP LARGE SIG VANILLA
WOMEN BAGS,1550000.0,COACH,COACH 69688 DREAMER WALLET COLOURBLOCK SIG CANVAS TAN RUST
WOMEN BAGS,2450000.0,COACH,COACH 90400 KLARE CROSSBODY SIGNATURE SNAKE KHAKI MULTI
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 38F9GFTH7B FULTON LARGE HOBO BROWN/ACORN
WOMEN BAGS,2050000.0,MICHAEL KORS,MICHAEL KORS 30S0GTTT7B JET SET ITEM LARGE POCKET TOTEBAG VANILLA
WOMEN BAGS,3550000.0,TORY BURCH,TORY BURCH 60227 KIRA CHEVRON SMALL CAMERA BAG PINK MOON
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE KHAKI CHALK
WOMEN BAGS,2050000.0,MICHAEL KORS,MICHAEL KORS 30S0GTTT7B JET SET ITEM LARGE PKT MF TOTE BROWN ACORN
WOMEN BAGS,5500000.0,TORY BURCH,TORY BURCH 644220220 FLEMING SOFT CONVERTIBLE SHOULDER BAG NEW CREAM
WOMEN BAGS,3800000.0,COACH,COACH 31210 CHARLIE CARRYAL SIGNATURE TAN RUST
Women Shoes,1400000.0,MICHAEL KORS,MICHAEL KORS FLAT SHOES STUD VANILLA
WOMEN BAGS,1950000.0,MICHAEL KORS,MICHAEL KORS 38F9GFTH7B FULTON LARGE HOBO VANILLA/ACORN
Women Wallets,600000.0,KATE SPADE,KATE SPADE WLRU6027 MINNIE MOUSE CARD CASE BLACK
WOMEN BAGS,2450000.0,COACH,COACH 76684 CASSIDY TOP HANDLE CROSSBODY CHALK OXBLOOD
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T0GBFS5B BEDFORD SMALL DUFFLE SATCHEL VANILLA MULTI
WOMEN BAGS,1850000.0,MICHAEL KORS,MICHAEL KORS 35T9GBFU3J BEDFORD SIG LARGE DUFFLE LUGGAGE (Yellow Strip)
Women Wallets,600000.0,KATE SPADE,KATE SPADE WLR00139 STACI CARD CASE LANYARD BLACK
WOMEN BAGS,600000.0,KATE SPADE,KATE SPADE WLRU6012 CAMERON CARD CASE LANYARD WARM BEIGE
WOMEN BAGS,3100000.0,COACH,COACH 69422 COACH SIGNATURE CENTRAL TOTE ZIP TAN RUST
WOMEN BAGS,2150000.0,COACH,COACH F79998 PRAIRIE SIG KH SADDLE
WOMEN BAGS,1550000.0,bimba y lola,BIMBA Y LOLA SLING BLACK
WOMEN BAGS,1550000.0,MICHAEL KORS,MICHAEL KORS 37U9LCRC8L COOPER SLINGPACK LEATHER BLACK
WOMEN BAGS,1150000.0,KATE SPADE,KATE SPADE 8ARU6859 IPHONE CASES CHERRIES PHONE BLACKMULTI
Women Watches,1200000.0,FOSSIL,FOSSIL fs5687
Women Shoes,1300000.0,MICHAEL KORS,MICHAEL KORS KENDRICK FLAT SHOES FLOWER BROWN
WOMEN BAGS,2450000.0,MICHAEL KORS,MICHAEL KORS 35T0UX0L2U ROSE MEDIUM FLAP SHOULDER VEGAN FAUX LEATHER BLACK (black hardware)
WOMEN BAGS,2150000.0,COACH,COACH F83607 ROWAN SIGNATURE BROWN BLACK
WOMEN BAGS,2450000.0,COACH,COACH 90400 KLARE CROSSBODY SIGNATURE SNAKE KHAKI MULTI
WOMEN BAGS,2600000.0,KATE SPADE,KATE SPADE PXRUA245 NICOLA TWISTLOCK SMALL SHOULDER BAG BLACK
MEN BAGS,1700000.0,COACH,COACH 89920 EDGE BELTBAG AEGEAN ORANGE
WOMEN BAGS,1650000.0,KATE SPADE,KATE SPADE WKRU5967 REVERSIBLE TOTE ARCH PAPER ROSE PINK MULTI
WOMEN BAGS,2100000.0,COACH,COACH F27583 MINI SIERA SIGNATURE BROWN BLACK
